Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Herb132	glucose	Symptom631	stroke	30186461:null
Herb132	glucose	Symptom340	injury	29663377:null
Herb132	glucose	Symptom221	etec	30175143:constructed
Herb132	glucose	Symptom150	cyst	30106056:null
Herb132	glucose	Symptom631	stroke	30106056:represents
Herb132	glucose	Symptom340	injury	29635133:null
Herb132	glucose	Symptom340	injury	29734780:used
Herb132	glucose	Symptom631	stroke	29480936:mimic
Herb132	glucose	Symptom340	injury	29355569:investigate
Herb132	glucose	Symptom631	stroke	29355569:investigate
Herb132	glucose	Symptom545	ptosis	29571866:induced
Herb132	glucose	Symptom340	injury	29475098:null
Herb132	glucose	Symptom340	injury	29454613:null
Herb132	glucose	Symptom517	pneumonia	29367332:reduced
Herb132	glucose	Symptom235	fever	29367332:null
Herb132	glucose	Symptom196	dysphagia	29367332:reduced
Herb132	glucose	Symptom340	injury	29353037:null
Herb132	glucose	Symptom340	injury	29196052:null
Herb132	glucose	Symptom115	chemical	29196052:null
Herb132	glucose	Symptom340	injury	30071537:null
Herb132	glucose	Symptom596	shock	30071537:null
Herb132	glucose	Symptom421	MS	30071537:null
Herb132	glucose	Symptom42	ards	29199847:null
Herb132	glucose	Symptom340	injury	29199847:help
Herb132	glucose	Symptom631	stroke	29199847:null
Herb132	glucose	Symptom340	injury	29199847:null
Herb132	glucose	Symptom340	injury	29399057:null
Herb132	glucose	Symptom455	neuroblastoma	29399057:null
Herb132	glucose	Symptom545	ptosis	29399057:null
Herb132	glucose	Symptom545	ptosis	30786670:null
Herb132	glucose	Symptom340	injury	29262855:null
Herb132	glucose	Symptom115	chemical	29262855:null
Herb132	glucose	Symptom631	stroke	28963051:null
Herb132	glucose	Symptom702	virus	29321724:null
Herb132	glucose	Symptom340	injury	28823591:null
Herb132	glucose	Symptom340	injury	28961497:null
Herb132	glucose	Symptom340	injury	29043002:using
Herb132	glucose	Symptom631	stroke	29043002:using
Herb132	glucose	Symptom455	neuroblastoma	29043002:using
Herb132	glucose	Symptom355	itch	29088732:null
Herb132	glucose	Symptom166	diabetes mellitus	28212524:developing
Herb132	glucose	Symptom631	stroke	28212524:developing
Herb132	glucose	Symptom164	diabetes	28212524:developing
Herb132	glucose	Symptom630	stress	28212524:null
Herb132	glucose	Symptom164	diabetes	28625574:null
Herb132	glucose	Symptom545	ptosis	28724891:mimicking
Herb132	glucose	Symptom631	stroke	28724891:mimicking
Herb132	glucose	Symptom221	etec	28495827:cleaved
Herb132	glucose	Symptom440	myopathy	28379356:null
Herb132	glucose	Symptom102	cardiomyopathy	28379356:null
Herb132	glucose	Symptom631	stroke	28283600:null
Herb132	glucose	Symptom340	injury	28424420:null
Herb132	glucose	Symptom545	ptosis	28256111:susceptible
Herb132	glucose	Symptom421	MS	27772541:null
Herb132	glucose	Symptom631	stroke	28203483:null
Herb132	glucose	Symptom631	stroke	28110342:null
Herb132	glucose	Symptom679	tumor	28101056:null
Herb132	glucose	Symptom87	brain tumor	28101056:null
Herb132	glucose	Symptom631	stroke	28101056:null
Herb132	glucose	Symptom421	MS	27693962:null
Herb132	glucose	Symptom164	diabetes	27514532:null
Herb132	glucose	Symptom417	mono	27388935:null
Herb132	glucose	Symptom340	injury	29908115:null
Herb132	glucose	Symptom221	etec	29908115:determined
Herb132	glucose	Symptom631	stroke	27524398:mimic
Herb132	glucose	Symptom177	disease	27496881:null
Herb132	glucose	Symptom177	disease	27496881:linked
Herb132	glucose	Symptom340	injury	26911316:null
Herb132	glucose	Symptom545	ptosis	27698534:null
Herb132	glucose	Symptom545	ptosis	27630541:induced
Herb132	glucose	Symptom340	injury	27255374:used
Herb132	glucose	Symptom164	diabetes	27083477:impairs
Herb132	glucose	Symptom221	etec	27002656:null
Herb132	glucose	Symptom630	stress	27143001:null
Herb132	glucose	Symptom673	trauma	26802735:simulate
Herb132	glucose	Symptom631	stroke	26802735:simulate
Herb132	glucose	Symptom340	injury	26918757:null
Herb132	glucose	Symptom455	neuroblastoma	26918757:null
Herb132	glucose	Symptom340	injury	26813160:null
Herb132	glucose	Symptom631	stroke	26813160:unknown;
Herb132	glucose	Symptom631	stroke	26188145:reduce
Herb132	glucose	Symptom545	ptosis	26384586:null
Herb132	glucose	Symptom340	injury	25864625:null
Herb132	glucose	Symptom340	injury	25725335:assessed
Herb132	glucose	Symptom340	injury	25681550:mimic
Herb132	glucose	Symptom340	injury	25681550:null
Herb132	glucose	Symptom545	ptosis	25615590:null
Herb132	glucose	Symptom630	stress	25712659:null
Herb132	glucose	Symptom295	hemorrhage	25523052:null
Herb132	glucose	Symptom455	neuroblastoma	26199678:null
Herb132	glucose	Symptom631	stroke	25359166:null
Herb132	glucose	Symptom340	injury	25012594:null
Herb132	glucose	Symptom631	stroke	25012594:null
Herb132	glucose	Symptom177	disease	25350643:fasting
Herb132	glucose	Symptom177	disease	25350643:null
Herb132	glucose	Symptom164	diabetes	25350643:fasting
Herb132	glucose	Symptom631	stroke	25350643:fasting
Herb132	glucose	Symptom631	stroke	25041106:null
Herb132	glucose	Symptom385	localized	24974727:null
Herb132	glucose	Symptom545	ptosis	25042180:null
Herb132	glucose	Symptom631	stroke	25013017:null
Herb132	glucose	Symptom340	injury	24930357:null
Herb132	glucose	Symptom641	swelling	24814023:null
Herb132	glucose	Symptom631	stroke	24814023:null
Herb132	glucose	Symptom551	RA	24814023:null
Herb132	glucose	Symptom630	stress	24295341:null
Herb132	glucose	Symptom340	injury	24774441:null
Herb132	glucose	Symptom340	injury	24872551:worsened
Herb132	glucose	Symptom340	injury	24872551:null
Herb132	glucose	Symptom631	stroke	24872551:upregulated
Herb132	glucose	Symptom641	swelling	24581232:slices
Herb132	glucose	Symptom164	diabetes	24891994:null
Herb132	glucose	Symptom630	stress	24891994:null
Herb132	glucose	Symptom631	stroke	24486437:null
Herb132	glucose	Symptom631	stroke	24440753:null
Herb132	glucose	Symptom630	stress	24414069:used
Herb132	glucose	Symptom631	stroke	24414069:null
Herb132	glucose	Symptom630	stress	24414069:null
Herb132	glucose	Symptom630	stress	24414069:induce
Herb132	glucose	Symptom631	stroke	24382215:exhibit
Herb132	glucose	Symptom221	etec	24382215:null
Herb132	glucose	Symptom631	stroke	24382215:null
Herb132	glucose	Symptom340	injury	24553937:reduces
Herb132	glucose	Symptom340	injury	24060818:null
Herb132	glucose	Symptom221	etec	24060818:null
Herb132	glucose	Symptom545	ptosis	24291097:null
Herb132	glucose	Symptom545	ptosis	24193141:null
Herb132	glucose	Symptom630	stress	24193141:null
